epoch,loss,accuracy,val_loss,val_accuracy,seconds
1,0.32034006055251985,0.9436584600211435,1.007714608311653,0.9042221595501078,845.2641921043396
2,0.2538120089364903,0.9572141051900148,0.25654656663537023,0.9638298776082485,983.0232422351837
3,0.17177247768692605,0.9716179189014336,0.35507921427488326,0.9402595926601685,846.1119840145111
4,0.12286704274700254,0.9801658528181997,0.2507178045809269,0.9664453966864224,845.2767522335052
5,0.09948066343471272,0.9840631884501237,0.3456049203872681,0.9579785385849334,845.3601071834564
6,0.08653678514559686,0.9861699014893621,0.28145311698317527,0.9634752423038303,845.5847616195679
7,0.07864380910475535,0.9874481600264993,0.365954102575779,0.9612180895192496,845.4089164733887
8,0.07294666617703006,0.9883639038275338,0.27873467430472376,0.9640095390869906,845.6146371364594
9,0.06868194155687543,0.9890631661859459,0.34135047197341917,0.9584149686520376,845.4859499931335
10,0.06524708938974559,0.9896151235643316,0.2846123665571213,0.9628490101207386,845.576159954071
11,0.06231711427619815,0.9900919876589044,0.2723175846040249,0.9605338835043593,845.6516540050507
12,0.060065652648121,0.9904610077094663,0.3372757911682129,0.9660783247514204,845.6292324066162
13,0.05810335504595028,0.9907772875561428,0.27840026170015336,0.9648158154143809,845.4671983718872
14,0.05629700583499208,0.9910655149252864,0.26770199090242386,0.9668408815389891,845.4599385261536
15,0.05473745302622713,0.9913130792474237,0.2380877271294594,0.9614680657939851,846.2135992050171
16,0.05337681804558125,0.9915443996099563,0.2270734988152981,0.9680113598097081,846.582948923111
17,0.052010560315998745,0.9917532576975921,0.2348949633538723,0.9661232879543006,845.640739440918
18,0.05101476662925312,0.9919164152747226,0.2508554093539715,0.9682990286417515,845.5535643100739
19,0.04998844514012133,0.9920870232342776,0.23625034764409064,0.9705027039148217,845.4722125530243
20,0.049175399252739116,0.9922187104347007,0.25908487737178804,0.9658774253342967,845.5217196941376
